"","IC2_1","IC2_2","IC2_3","NQY_1","NQY_2","NQY_3"
"M102",6193.50156489117,6236.2118280566,6010.44193670305,6049.53284338737,6217.77567293507,6135.12798956051
"M103",1094.51460855131,1048.07221180386,1055.77698539785,1061.499882025,1080.0422313638,1050.01671188901
"M104",835.165589881886,961.846108631124,929.515194475876,927.178761522524,944.78585769022,962.220304421551
"M105",1228.82035036226,1505.92067512954,1371.11422202209,1375.15784990107,1485.14176637626,1398.37019958246
"M25",6321.63233006714,6344.29807006186,6455.84785241777,6581.73490462152,7184.6578688987,6730.58588214221
"M26",558.835385466253,545.289018655776,560.247042131193,515.502678685193,609.99285354769,559.348079832984
"M27",3318.27806922572,3276.59192056411,3230.14461097385,2823.64777099538,3074.738950045,2931.97518808657
"M28",3542.12097224397,3402.89494492981,3584.18521064452,3865.54403002813,3857.48499373023,4100.94187138309
"M31",7477.89670496831,7628.58122647274,7623.92803878643,7760.85652460005,7954.68177842652,7869.10703704276
"M32",6978.4954696138,6952.13137482181,7353.6389788228,7898.80794565665,7839.51298500149,8048.24002969814
"M33",2043.91726618044,2123.46959714839,2060.16098052093,2159.30276959122,2286.63621829348,2210.48696865642
"M34",6178.83599538308,6494.28291149613,6585.28205014684,6795.92263731466,7417.6737997819,7236.12326062417
"M35",1678.0499005575,1675.94397716029,1833.01665313366,1968.34896044445,1884.88461332245,2112.07002802758
"M37",6887.41456424775,6824.61389829874,6985.00530783953,6843.84260462906,6736.70482935599,6819.09032515376
"M38",7632.27112084296,7852.64764950612,7756.53464332258,7521.25668802805,7530.83383518208,7512.96515836429
"M39",535.679223085054,596.903235343684,579.91596433512,578.6699083269,596.601133381989,613.866816728098
"M40",152.830671715909,156.664328299766,176.38581847392,189.50168892512,202.214974502088,199.666023434052
"M41",4630.46060416029,4276.69327215215,4428.67990269052,4672.19681315383,4381.77083821744,4331.05342321312
"M42",1698.89044670058,1644.36822106887,1659.80324146682,1742.54426597812,1751.63699767372,1661.05138644073
"M43",11882.9706619516,12217.9959291457,11930.7875200849,11801.3810413368,12068.6182133299,12053.5971026288
"M44",4347.1835510303,4419.99862672093,4350.00421387482,3562.77696381443,3840.74534352311,3736.30356617551
"M45",27772.7292879299,28730.2946867254,28137.9794161202,24791.3224840929,28482.1800344216,26773.6560643094
"M46",836.709334040632,906.588535471129,876.853241478266,832.790947115376,918.002417358818,897.081034365051
"M47",946.315169311638,1030.46265552211,947.280672595551,1017.21021526473,1097.45146757921,1005.41047261119
"M48",5268.79881380199,5860.94611143157,5441.94663687344,6156.26367967853,6746.74861948027,6375.86007455192
"M49",2631.3119185835,2646.89847697164,2572.18743918444,2443.19227292349,2539.73972942523,2379.7074636945
"M50",752.575277388945,797.287841308501,790.563776325557,763.815236587075,831.625822290045,776.714991869346
"M51",182.161810732093,216.779710089212,210.647811990437,222.17439391221,235.024688908056,227.987445197748
"M52",535.679223085054,632.729573985879,619.253808742973,631.672296417068,699.047792649603,640.064131859516
"M53",483.963793767045,523.428879823251,481.571353315488,516.228738796018,536.338392636334,527.486480348827
"M54",7306.54110334744,7282.46236162442,7350.46657201571,6138.11217690792,6306.1610260287,6208.05565060203
"M55",1603.1783088583,1536.88920514228,1488.49327388424,1322.88152192172,1380.01676307551,1314.82200537956
"M56",826.67499700878,764.497633059713,744.246636942118,523.48933990426,608.65368153112,508.369520658332
"M57",16087.3578782978,15809.7381845454,15935.6338733489,11286.6044227624,10749.5337770084,10936.317014051
"M58",6.17497663498622,4.85780862945012,7.61377633700376,9.43878144071481,10.0437901242759,9.91249761729339
"M69",3281.2282094158,3226.19215603356,3457.28893836112,3095.92031255446,3102.19197638469,3164.21084654887
"M70",893.055995834882,936.342613326511,900.963533212112,970.742368171977,942.777099665365,895.664963276867
"M71",1174.01743272675,1079.64796789529,1098.92171797421,1179.12161997853,1060.62423712354,1084.71045354953
"M72",1356.95111553822,1321.32394721043,1331.14189625282,1500.04018896283,1419.52233756433,1467.75768290351
"M73",226.930391335743,215.565257931849,227.144327387279,236.695596128694,210.919592609794,230.819587374117
"M74",378.217318892906,374.658490546341,416.854254450956,434.910006383705,452.640141600701,399.332046868105
"M75",803.518834627581,797.895067387183,827.363695287742,795.035821352517,857.739676613163,824.153373323536
"M76",433.792108607782,503.390419226769,465.074837918646,455.239689486783,485.449856006669,487.836489879653
"M78",51786.4415493119,50840.003437589,51216.6044563015,45613.2743423097,44818.7394645605,45366.6694521755
"M79",639.881953800447,610.262209074672,643.364100476818,718.799509715974,646.820084003368,647.852522844532
"M80",1712.7841441293,1723.30761129743,1756.87888976362,1645.9782712385,1639.14654828183,1659.63531535255
"M82",3638.60498216563,3758.72942703703,3727.57799832476,3634.65691478603,4179.55586371535,3717.18660648502
"M83",2226.07907691253,2262.52436916639,2272.71223659562,2085.97069839797,2715.84084960421,2197.74232886276
"M84",825.903124929406,868.33329251421,833.708508901912,765.993416919548,987.639362220464,756.181961090667
"M85",250.858425796315,304.827491497995,253.158063205375,272.272541559081,335.462590150815,242.856191623688
"M86",1224.96098996539,1447.62697157614,1294.34197729064,1227.76764740375,1584.91008161074,1250.39077086715
"M87",975.646308327822,986.135151778375,977.101296582149,935.16542274159,1038.52789885013,960.804233333366
"M88",2049.32037073605,2009.31109435631,2043.02998376268,2038.05073108357,2127.94433432992,1960.55042159181
"M90",795.800113833849,753.56756364345,749.95696919487,659.988640739212,702.395722691028,663.429304814564
"M91",79.5028241754475,69.8309990483455,81.8480956227904,55.1805684226404,68.9673588533612,60.1830212478527
"M92",272.470844018767,273.251735406569,280.440761746305,295.506465105456,320.731697968544,247.104404888242
"M93",987.224389518421,1085.7202286821,1043.72183953093,1044.07443936522,1074.68554329752,1048.60064080082
"M94",1651.03437777944,1719.05702874666,1652.82394649123,1714.9539817668,1674.63460672094,1723.35851432086
"M95",716.297289658401,674.020947336205,698.563978920095,699.921946834544,732.527093063856,712.991792901031
"M96",223.071030938877,233.174814213606,244.275324145537,265.011940450839,208.910834584939,232.943694006395
"M97",2881.39847230044,2909.82736904062,2644.51831438597,2351.70869895964,2304.71504051718,2332.26908224032
"M98",798.887602151342,777.24938071202,755.667301447623,716.621329383501,664.22932021878,670.509660255488
"M99",145.883823001549,135.411415545922,150.372082655824,117.621737953523,126.551755565876,135.234788921645
"m01",12.3499532699724,11.537295494944,8.88273905983772,7.98666121906638,13.3917201657012,9.91249761729339
"m02",1082.93652736071,1094.22139378364,1107.80445703405,1056.41746124923,1106.82567169521,1030.89975219851
"m03",1524.44735676222,1513.81461415239,1553.84485411018,1409.2826751098,1421.53109558918,1410.40680383203
"m04",7040.24523596366,6596.90411879327,6849.86077785772,6912.09225504654,6409.94685731288,6941.58047428174
"m05",917.755902374826,966.703917260575,979.0047406664,1009.22355404566,995.674394319885,1063.46938722676
"m06",7117.43244390099,6694.06029138227,6772.45405176485,6178.77154311408,5663.35845807504,5934.04589503828
"m07",488.595026243284,465.742402348531,492.357536459577,405.867601950737,400.412432954466,388.003478162627
