"","genes","logFC","logCPM","F","PValue","FDR"
"4843","Cdkn1a",6.83998995608028,9.65511245416949,17042.8390202164,1.15275993165227e-43,1.47610909248074e-39
"20249","Irf8",-4.60452611695552,10.675272067782,13845.5514888208,2.76928964144151e-42,1.77303769293293e-38
"19257","H2-Aa",-4.77343204306748,9.31155219830311,12562.9639592644,1.22501644892645e-41,5.22877854283439e-38
"28623","Plbd1",-4.29638417128555,8.92302047189233,11686.0101710785,3.70458794055431e-41,1.02912931045596e-37
"19258","H2-Ab1",-4.98545201071575,9.76376631922271,12396.5007020978,4.01846665543133e-41,1.02912931045596e-37
"33252","Tlr3",-4.89428762556463,9.36184620922042,11739.3065315259,7.10250011116251e-41,1.51579189872393e-37
"174","1700013H16Rik",-6.34843886277526,7.89381277830018,10419.337784271,2.14067841887004e-40,3.64118065239026e-37
"34406","Unc93b1",-3.75155050848919,9.28457721355836,10377.985771915,2.27484929473816e-40,3.64118065239026e-37
"25248","Mmp9",-4.12622267501122,9.42461920840647,10025.3806311597,3.85860184043539e-40,5.4899329518639e-37
"23542","Man2b1",-3.75115221946417,9.49111574084941,9705.45565734741,6.33449291040068e-40,8.11131817176808e-37
"28646","Pld4",-5.61979235950153,7.33750062322453,9598.45224279253,7.50408626894163e-40,8.73543860670887e-37
"34338","Ucp2",-3.31069005530172,9.69627777067072,9303.1618672096,1.20973820535321e-39,1.29089147662899e-36
"5397","Cnn2",-4.59667248680624,7.69046470295585,8869.28913383217,2.5097932424562e-39,2.47214634381935e-36
"35204","Xcr1",-5.63093814973666,7.41495621557507,8388.01290516383,5.8859746876203e-39,5.38356470535557e-36
"7233","Emp1",12.5801854310201,7.32990770179888,8085.15902216721,1.03222791957057e-38,8.81178567340078e-36
"2329","Actb",-3.05878247308989,12.9328066628873,7330.23383957134,4.61211008116561e-38,3.69112934933285e-35
"5552","Coro1a",-3.3988470285482,8.98675800349957,7238.78848329299,5.58652285779617e-38,4.20796618788706e-35
"29630","Rab43",-3.46768196995046,8.26353581365654,7204.22276280457,6.01006957478247e-38,4.27549671694942e-35
"33106","Tgfbi",-5.64012605203185,7.02948206102345,7087.70570413503,7.7089071110114e-38,5.19539766086847e-35
"29640","Rab7b",-3.55970030343055,7.97052766959019,7000.43648954331,9.31393917372107e-38,5.96324955597492e-35
"30149","Rnase6",-5.51258365648682,6.90610866018401,6930.72879570148,1.08512655348997e-37,6.61668834163763e-35
"5863","Ctss",-3.32295671564579,8.04852628268739,6711.39493620352,1.7728019212505e-37,1.0318513000733e-34
"19265","H2-Eb1",-4.31744534719876,8.20962838948266,7403.88014854663,1.91488267238341e-37,1.06609011390737e-34
"20308","Itgax",-3.71085028077325,8.88789164965534,7203.36994681931,2.57575326445619e-37,1.37427168964006e-34
"10739","Gm2a",-4.01430103601691,8.95808399875136,7852.157464849,3.71278880567158e-37,1.90169042626498e-34
"23405","Ly6e",-3.37352851172696,8.46745610366543,6367.31147137551,3.95804849148612e-37,1.94933888205691e-34
"4706","Cd52",-3.37825055944513,8.00307526639571,6314.13831584101,4.49836538774846e-37,2.13339143667107e-34
"2332","Actg1",-2.96974920868571,10.269899108495,6132.05935164065,7.02984797616927e-37,3.2149001191017e-34
"29308","Psap",-2.51858386228997,11.3145991425466,5962.01208118172,1.07961853770962e-36,4.76707426736956e-34
"8003","Fgd2",-7.17944260344421,6.8077013863625,6260.10503802086,1.20188551765738e-36,5.13004801786759e-34
"6758","Dpp4",-3.66834470392417,7.61479277715151,5818.79084527798,1.56440893170788e-36,6.4620181840385e-34
"19720","Hpgd",-3.6743799021724,7.50738079280759,5706.24495906002,2.10728039010638e-36,8.43241418603508e-34
"32213","Spp1",7.86137887539212,6.7520506962611,5657.69233682424,2.40059801701809e-36,9.31504775997473e-34
"19261","H2-DMa",-5.55007094040929,6.64367094457557,5574.90863052655,3.0056804006837e-36,1.13199228031632e-33
"23008","Lcp1",-2.43319749419359,10.3369252263726,5502.27226797245,3.67108892705636e-36,1.34309410602733e-33
"23452","Lyz2",-5.1475035500412,6.48199413512782,5230.68911671813,7.94242665636067e-36,2.82507703707496e-33
"29352","Psmb8",-3.17865897032317,7.77536002854543,5094.92794137022,1.18587710939752e-35,4.10409632049603e-33
"20538","Kctd12",-2.94900740029482,8.22048600157571,5079.39211471063,1.24238058034016e-35,4.18649561348836e-33
