"","genes","logFC","logCPM","F","PValue","FDR"
"4843","Cdkn1a",6.72775777459814,9.65511245416949,16475.5572131749,1.93520789489708e-43,2.47803370941571e-39
"20249","Irf8",-4.64561211915656,10.675272067782,13946.7009990885,2.47746913581594e-42,1.58619961420615e-38
"19257","H2-Aa",-4.81710698443382,9.31155219830311,12539.5343945808,1.26049497404604e-41,5.38021271421987e-38
"19258","H2-Ab1",-4.99484300180452,9.76376631922271,12295.476823623,4.54695589196024e-41,1.45559425491377e-37
"28623","Plbd1",-4.23503761277939,8.92302047189233,11309.7486467176,6.11049653095674e-41,1.56489816157802e-37
"25248","Mmp9",-4.40286826351834,9.42461920840647,10829.0736139476,1.18703159329195e-40,2.53332325868391e-37
"33252","Tlr3",-4.69621647615232,9.36184620922042,11023.0314481773,1.84311204283303e-40,3.37157852978242e-37
"174","1700013H16Rik",-6.14080209995631,7.89381277830018,9912.53937412675,4.58743918334684e-40,7.34276984284453e-37
"34338","Ucp2",-3.40840123166949,9.69627777067072,9668.87046004265,6.7108882378225e-40,9.54810265392412e-37
"23542","Man2b1",-3.70755988150315,9.49111574084941,9455.29435837248,9.44140244743531e-40,1.18579841297001e-36
"34406","Unc93b1",-3.5331670275637,9.28457721355836,9408.41647195671,1.0186476019266e-39,1.18579841297001e-36
"28646","Pld4",-5.54376480411512,7.33750062322453,9214.24503489708,1.40096719121204e-39,1.49494874028918e-36
"5397","Cnn2",-4.5883542737184,7.69046470295585,8633.76304616377,3.78639533709809e-39,3.58711437230875e-36
"35204","Xcr1",-6.13898098623987,7.41495621557507,8613.91921721689,3.92187436253983e-39,3.58711437230875e-36
"2329","Actb",-3.2440669140133,12.9328066628873,8101.24091581292,1.00136864481585e-38,8.54835033124463e-36
"7233","Emp1",12.4919620131891,7.32990770179888,7766.75943141606,1.90666872419091e-38,1.52593081332904e-35
"5552","Coro1a",-3.36385135884418,8.98675800349957,7049.84594757721,8.36571846263915e-38,6.18642866319257e-35
"2332","Actg1",-3.23457279336441,10.269899108495,7031.97323610884,8.69626832779901e-38,6.18642866319257e-35
"20308","Itgax",-3.89238313319305,8.88789164965534,7598.49065891169,1.15930834900893e-37,7.81312811003126e-35
"29630","Rab43",-3.37321585227865,8.26353581365654,6818.22445306058,1.3930774408079e-37,8.91917831477258e-35
"23405","Ly6e",-3.52813021583309,8.46745610366543,6686.75735963418,1.87516106940041e-37,1.14340178541296e-34
"33106","Tgfbi",-5.41435428085099,7.02948206102345,6659.91463941374,1.99388857401971e-37,1.16053378137829e-34
"5863","Ctss",-3.28366282234012,8.04852628268739,6485.56566727222,2.98900447921205e-37,1.66409575462219e-34
"30149","Rnase6",-5.18440845910798,6.90610866018401,6404.44882501187,3.62193390551612e-37,1.93245265250558e-34
"29640","Rab7b",-3.37308230007537,7.97052766959019,6385.82984261382,3.78647536034997e-37,1.93943267957126e-34
"19265","H2-Eb1",-4.20443408019446,8.20962838948266,7038.78502921256,4.07270527437035e-37,2.0058073476274e-34
"23008","Lcp1",-2.63236332075794,10.3369252263726,6291.24190386182,4.75475782373465e-37,2.25498792344156e-34
"10739","Gm2a",-3.95323169185474,8.95808399875136,7592.18634090869,6.06920686823752e-37,2.77557835527791e-34
"29308","Psap",-2.53445427071215,11.3145991425466,6018.21944546239,9.3562970523316e-37,4.13128909500366e-34
"4706","Cd52",-3.23140396514276,8.00307526639571,5826.45819354988,1.53330102893655e-36,6.54463989184418e-34
"8003","Fgd2",-7.38262358780066,6.8077013863625,6085.249114959,1.84161756452531e-36,7.60706868185374e-34
"6758","Dpp4",-3.68914867873313,7.61479277715151,5732.35866078681,1.9655303369491e-36,7.86519248894787e-34
"19720","Hpgd",-3.60404008467772,7.50738079280759,5441.23212097869,4.35178790721373e-36,1.68862558035975e-33
"20246","Irf5",-2.87009406014411,9.08474873019899,5298.67279713379,6.52317258262806e-36,2.45674190942801e-33
"5282","Clec2i",3.91157112197823,7.47567474346519,5263.09591196219,7.22873647381168e-36,2.64468487277596e-33
"19261","H2-DMa",-5.35916690704048,6.64367094457557,5248.86114375223,7.53343195496192e-36,2.67959989398021e-33
"25732","Myo1f",-3.97238835700681,6.86602747188679,5209.67074140047,8.44518265802306e-36,2.92271794421582e-33
"4244","Camk1d",-3.55948409407422,7.06919813485858,4896.01361264785,2.1758077898036e-35,7.27959037113489e-33
"4645","Cd180",-4.43645640033571,6.76504745663139,4889.97190995223,2.21713412318829e-35,7.27959037113489e-33
"29445","Ptms",-2.61050597013653,8.76892833076818,4874.60580266946,2.32605521867873e-35,7.44628426879529e-33
"23452","Lyz2",-4.87321673488447,6.48199413512782,4836.0240235209,2.62545663457029e-35,8.12623943511422e-33
"1549","5031439G07Rik",-2.65862673879198,8.47222129647131,4831.23629374205,2.66538115013508e-35,8.12623943511422e-33
"30695","Scd2",-2.41187126481935,10.6912296081874,4784.85527148771,3.08739295196555e-35,9.19396901160905e-33
"31097","Sh3bp1",-3.30732600996652,7.84499676971772,4750.89484600492,3.44129293344302e-35,9.93758944497204e-33
"19955","Ifngr1",-2.70504698084523,8.18785943685225,4746.30718376721,3.49231960190349e-35,9.93758944497204e-33
"25796","Naaa",-4.56836999653319,8.89379615674214,8462.00101953516,3.71112056895809e-35,1.03306301925018e-32
"23629","March1",-5.1361700486222,6.35657161077159,4717.18643975404,3.83560505314372e-35,1.04499835543628e-32
"20538","Kctd12",-2.82540090815411,8.22048600157571,4688.01718776358,4.21573025118308e-35,1.11579529926462e-32
"33249","Tlr12",-5.48639965968227,7.72448329479404,7286.81215381389,4.26973601436676e-35,1.11579529926462e-32
"29352","Psmb8",-3.01035234460639,7.77536002854543,4625.30803732875,5.17566024683104e-35,1.32548658921343e-32
"25813","Naga",-3.44720781578302,7.20901799246096,4493.57494522179,8.03708355926859e-35,2.01793833287126e-32
"35550","Zfp385a",-4.21833900353331,7.12311682003689,4710.66128319628,8.69020707954197e-35,2.13996349333721e-32
"28626","Plcb2",-4.04735600520536,6.81804361228419,4438.68000383285,9.69158054794392e-35,2.30150866076668e-32
