"","genes","logFC","logCPM","F","PValue","FDR"
"32213","Spp1",0.652994524120771,6.7520506962611,183.703833654953,1.73279021644056e-14,2.21883787215214e-10
"4301","Car2",0.518335358131738,6.59738139129511,105.548202838347,1.89813457558855e-11,1.21528066202057e-07
"28620","Plau",0.393858330660982,8.22608161947173,101.983818534912,2.86054282104602e-11,1.22097502744981e-07
"4562","Ccl22",0.379261547471449,7.31335113429079,79.2416719904994,5.26664434559375e-10,1.6859845211332e-06
"10618","Gm29779",0.320290389891268,8.71944070979589,68.2700951530566,2.69467817729309e-09,6.90107081204761e-06
"6106","D17H6S56E-5",0.344678392315847,7.8355789590146,59.1614811544775,1.21018078344145e-08,2.5827274886613e-05
"20614","Kif20a",0.320787639300307,7.63527772232798,54.4179476067992,2.81767900743712e-08,5.15433995574747e-05
"33608","Tnc",0.560862669819674,4.8204379387001,52.4949521253691,5.15552446862568e-08,7.96408258225694e-05
"19147","Gsn",0.323820995123325,7.79057875411876,50.1905115197334,6.2391765486553e-08,7.96408258225694e-05
"2332","Actg1",0.2648235846787,10.269899108495,50.1005591716499,6.34852984472489e-08,7.96408258225694e-05
"2844","Ankrd13a",0.296726367130582,7.90540217562247,49.7145985091345,6.84146102341479e-08,7.96408258225694e-05
"30956","Serpinb11",0.953150237016733,2.76754914714446,49.2313336171576,7.5169001759607e-08,8.02115889609806e-05
"23641","Marcksl1",0.317209994419136,7.91581602919164,49.4654671764327,8.24026751893712e-08,8.11666350615307e-05
"4579","Ccna2",0.225440733313264,9.15978160735294,46.1576671351334,1.38745611918505e-07,0.000126902682901175
"8264","Fth1",-0.210670373534872,10.7363987899161,45.0227214558807,1.75101773148631e-07,0.000149478547011214
"3138","Arhgef7",0.240015304475755,8.26243237233789,44.4318533609853,1.97938593974264e-07,0.000158412730990028
"32415","Stap1",0.387641735599065,6.47852801752911,41.921670968555,3.37008505725219e-07,0.000253846700930084
"35376","Zc3hav1l",0.617071257624241,4.28300083986643,41.1013402792829,4.20360255228741e-07,0.000299039614900224
"31800","Snhg1",-0.313109891225536,6.6696269059949,39.0487390892177,6.34642148129813e-07,0.000422659678729731
"20078","Il1rn",0.669635228506677,3.42752715663409,38.8738416611718,6.60147877750459e-07,0.000422659678729731
"33102","Tgfb1",0.24526756305547,8.07472293156447,38.5127275232729,7.16333591082883e-07,0.000436792934943634
"25248","Mmp9",0.276645588507118,9.42461920840647,38.1060174403366,7.85777799408491e-07,0.0004418176908163
"3272","Asf1b",0.234669069515121,7.66942425585138,37.8977833761919,8.24080832007455e-07,0.0004418176908163
"23008","Lcp1",0.199165826564353,10.3369252263726,37.8501228187953,8.33124592932344e-07,0.0004418176908163
"28435","Pianp",0.461841666399592,6.6561788697227,37.6985914593967,8.62588228848691e-07,0.0004418176908163
"19529","Hist1h2bc",-0.383525497398407,5.800895494062,37.3369765310034,9.37484366991909e-07,0.000461711050743515
"5555","Coro2a",0.273747395836067,7.09955510350689,36.5151841556734,1.13472667321842e-06,0.000538154631502294
"33831","Trib3",-0.547505927337885,4.55490846343731,37.8035793745403,1.35472237713612e-06,0.000619543572829572
"4591","Ccnf",0.208484703825007,7.82501105198269,32.4114396146643,3.05854848425225e-06,0.00135050735658104
"34406","Unc93b1",-0.218383480925488,9.28457721355836,32.1614550626274,3.2560324556843e-06,0.00138978318650125
"30914","40057",0.216557145462185,8.4492325422826,31.547598355062,3.80101873340216e-06,0.00157006596391015
"28529","Pitpnm2",0.33553295576832,6.38956257892117,32.8827959385108,4.07479544657232e-06,0.00163055486541745
"19191","Gtf2i",0.223123028612762,7.417113674776,31.1030244965677,4.25611595421015e-06,0.00165150196344427
"2329","Actb",0.185284440923411,12.9328066628873,30.8846087029105,4.50068914100329e-06,0.0016622153827448
"2344","Actn4",0.19313245271045,9.15912333962032,30.8478140315036,4.5433454428792e-06,0.0016622153827448
"30460","Rrm2",0.18612617524525,9.87136337966431,30.6327298753922,4.80148016827204e-06,0.00170785982096454
"5910","Cxcl2",-0.485783339290253,3.90045735784553,30.4805672551976,4.99352604136334e-06,0.00172816489080156
"28704","Plp2",0.21232505040368,7.76991912538666,30.3144486229958,5.21258027048316e-06,0.00175650237798781
"28916","Pphln1",0.226541029310737,7.42980060376083,30.0794246857204,5.54018125487091e-06,0.00181902617868262
"3322","Atf3",-0.315210333674664,5.96410911181872,29.9753359410366,5.69222754006583e-06,0.00182222434126357
"28043","Pcbp2",0.174210092315574,9.55186624831879,29.6701279416052,6.16428925617506e-06,0.00190514767155522
"19596","Hmga1",0.244313930354612,7.14435879903078,29.5486160319348,6.36370494117197e-06,0.00190514767155522
"2078","ATP6",-0.756723727821147,3.08253797565626,29.5531388248704,6.54327889724807e-06,0.00190514767155522
"33746","Tpm3",0.171124305160304,10.0392963223813,29.4408136705494,6.54638793818273e-06,0.00190514767155522
"5313","Clk1",-0.215419447561754,7.29612395711825,29.0499162145933,7.25718972835412e-06,0.00200698785053041
"8054","Fhl3",0.355767810763525,5.64458158648063,29.0599727080981,7.446491361e-06,0.00200698785053041
