"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"KEGG_Inositol_phosphate_metabolism%mmu00562",0.00159235668789809,0.0098771550961164,-0.50515646335865,-1.9115940560255,0,64,"PLCB2;PLCG2;PIP4K2A;PIP4K2B;INPP5D;ISYNA1;PIK3CG;MTMR14;PIP5K1C;PIK3CD;PI4K2A;INPP5K;MTMR4;IMPA2;MTMR1;PLCB4;SYNJ1;INPP5E;PI4KB;ITPKB;PLCB3;PTEN;ITPK1;INPP5B;MTMR2;INPP4A;PIK3C2A;FIG4;MTMR3;IPMK;PLCE1"
"KEGG_Ribosome%mmu03010",0.00143061516452074,0.0098771550961164,-0.569846534616972,-2.39781529162403,0,126,"RPS2;RPS4X;RPL12;RPL29;RPSA;RPL13;RPL3;RPL8;RPLP0;RPL10A;RPL10;RPS6;RPS20;RPL32;RPS8;RPS17;RPL6;RPS9;RPS15;RPL7A;RPL28;RPS11;RPL23A;RPS7;RPL5;RPL31;RPL11;RPLP1;RPL18;RPL41;FAU;RPL39;RPS26;RPS12;RPS18;RPL35;RPL14;RPS10;RPL23;RPL13A;RPL37A;RPS28;RPS15A;RPL27;RPL17;RPL36;RPS19;RPS3A1;RPL38;RPS13;RPL7;RPL4;RPL21;RPL22;RPS27A;RPS25;RPL24;UBA52;RPL27A;RPS29;MRPS21;RPL15;MRPS15;RPLP2;RPL35A;RPL30;RPS23;RPS3;MRPL28;RPS16;RPS24;RPL18A;MRPL20;RPL9;RPL37"
"KEGG_Spliceosome%mmu03040",0.00142857142857143,0.0098771550961164,-0.41374704254282,-1.74017046070241,0,125,"SRSF5;HNRNPU;PRPF38B;SF3B3;FUS;PRPF18;SRSF2;SRSF7;DDX23;CCDC12;RBM17;HNRNPA3;DDX5;SRSF10;PCBP1;SRSF1;SF3B2;SRSF9;SRSF4;ACIN1;HNRNPA1;DHX16;RBMX;SRSF3;TRA2A;CHERP;HNRNPM;SRSF6;SART1;DDX39B;SNRPG;LSM4;SNRPB2;SNRPB;PRPF40A;TCERG1;LSM6;SNRPA;RBM25;DDX42;ZMAT2;DDX46;TRA2B;HSPA8;THOC2"
"KEGG_Chemokine_signaling_pathway%mmu04062",0.00140646976090014,0.0098771550961164,-0.495825072665954,-2.11038864900141,0,132,"XCR1;PLCB2;GNAI2;PLCG2;GNG2;JAK2;PRKCD;GNB2;PREX1;VAV3;LYN;PIK3CG;NFKB1;CHUK;GRK6;CXCR3;AKT1;PXN;PIK3CD;GRB2;DOCK2;IKBKB;CXCL16;ARRB1;PIK3R5;HCK;STAT2;PIK3R6;ADCY7;SHC1;STAT1;PAK1;GNG10;RAC1;WAS;ELMO1;PIK3R2;NFKBIA;NCF1;VAV1;CDC42;CCR1;NRAS;PRKACA;GRK3;AKT2;GNB1;CCR2;GRK5;PLCB4;PIK3R1;CCL6;PLCB3;ARRB2;RAC2;ROCK1;STAT3;GNAQ;GNAI3"
"KEGG_Phospholipase_D_signaling_pathway%mmu04072",0.00149700598802395,0.0098771550961164,-0.403594592303334,-1.64523594807161,0,102,"PLCB2;PLCG2;RALB;PIK3CG;PIP5K1C;PTPN11;LPAR5;MTOR;AKT1;PIK3CD;GRB2;DGKG;PIK3R5;PLD2;PIK3R6;ADCY7;SHC1;LPAR6;PIK3R2;NRAS;AKT2;PLCB4;SYK;SPHK2;PIK3R1;DGKZ;AGPAT3;PLCB3;MAP2K2;ARF6;AGPAT1;RRAS;PLPP1;TSC2;GNA13;DNM2;RHOA;ARF1"
"KEGG_Lysosome%mmu04142",0.00145772594752187,0.0098771550961164,-0.424253840326636,-1.75650179117286,0,111,"MAN2B1;CTSS;GM2A;PSAP;NAGA;PPT1;ASAH1;GUSB;AP1S3;HEXA;GNS;LAPTM5;CD68;NAPSA;FUCA1;AP1B1;MANBA;TCIRG1;AP3D1;AP4M1;SUMF1;M6PR;PPT2;NCOA7;NPC1;GGA3;AP3B1;GGA1;AP1G1;LGMN;NPC2;HEXB;FUCA2;CLTA;IDS;ATP6V0A2;GLB1;CTSZ;ARSB;LITAF;AP1M1"
"KEGG_Phagosome%mmu04145",0.00146627565982405,0.0098771550961164,-0.465244458298399,-1.93404527874598,0,117,"H2-AA;H2-AB1;ACTB;CORO1A;RAB7B;CTSS;H2-EB1;ACTG1;H2-DMA;H2-DMB1;CD36;TAP2;TAP1;H2-K1;TUBB3;H2-D1;CYBA;NCF2;H2-T23;H2-DMB2;ITGB1;ITGB2;RAC1;TCIRG1;CYBB;NCF1;CALR;SCARB1;TUBB2A;H2-M3;H2-OB;H2-T22;M6PR;STX7;RAB7;NCF4;H2-T24"
"KEGG_AMPK_signaling_pathway%mmu04152",0.00152905198776758,0.0098771550961164,-0.422119092464046,-1.70012350289213,0,97,"SCD2;CD36;CCND1;EEF2;RAB8A;PFKP;MTOR;LIPE;AKT1;SCD1;PIK3CD;HMGCR;SREBF1;CREB1;PPP2R5C;PIK3R2;GYS1;ADIPOR2;CAMKK2;AKT2;PPARG;PIK3R1;TBC1D1;RAB10;STRADA;CRTC2;CPT1A;ACACA;RPS6KB2;PRKAB2;TSC2;CREB3;PFKL;RPS6KB1;PFKFB3"
"KEGG_Necroptosis%mmu04217",0.00151515151515152,0.0098771550961164,-0.412824393443187,-1.67331277767754,0,100,"TLR3;IFNGR1;TYK2;JAK2;PYGB;IRF9;CYLD;RBCK1;NLRP3;FTL1;EIF2AK2;STAT2;STAT1;CAPN1;BID;CYBB;STAT6;SHARPIN;IFNAR1;IFNAR2;TRADD;CHMP2A;BIRC3;CHMP1B;GLUD1;CHMP6;FTH1;IFNGR2;VDAC2;SPATA2L;CHMP1A;STAT3;PPIA;VPS4A;HSP90AB1;USP21;TICAM1;VPS4B;CAPN2;CAMK2G;AIFM1"
"KEGG_Osteoclast_differentiation%mmu04380",0.00148148148148148,0.0098771550961164,-0.493721330038015,-2.01669740874396,0,103,"IFNGR1;SPI1;PLCG2;TYK2;CYBA;TGFB1;NCF2;IRF9;CYLD;NFATC1;NFKB1;FOS;CHUK;AKT1;MAP2K6;PIK3CD;GRB2;BTK;IKBKB;STAT2;PIRB;STAT1;RAC1;CREB1;TAB2;NFATC2;PPP3CB;PIK3R2;NFKBIA;MAPK14;NCF1;JUND;IFNAR1;AKT2;IFNAR2;PPARG;SYK;NCF4;PIK3R1;IFNGR2;TNFRSF11A;FOSB"
