"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"KEGG_Inositol_phosphate_metabolism%mmu00562",0.0016025641025641,0.0093,-0.503275752888653,-1.91799077942997,0,64,"PLCB2;PLCG2;PIP4K2A;PIP4K2B;INPP5D;PIP5K1C;ISYNA1;PIK3CG;MTMR14;PIK3CD;PI4K2A;INPP5K;MTMR4;IMPA2;MTMR1;INPP5E;PLCB4;PLCB3;SYNJ1;PI4KB;INPP5B;PTEN;ITPKB;ITPK1;MTMR2;IPMK;INPP4A;FIG4;PIK3C2A;MTMR3;PLCE1"
"KEGG_Ribosome%mmu03010",0.00143266475644699,0.0093,-0.530075141779341,-2.25057656613573,0,126,"RPS2;RPL29;RPS4X;RPL13;RPSA;RPL3;RPL12;RPL8;RPL7A;RPL10;RPLP0;RPL10A;RPL6;RPL28;RPS6;RPS15;RPS8;RPL32;RPS9;RPS20;RPS11;RPS17;RPL41;RPL23A;RPL5;RPL18;RPS26;RPS7;RPLP1;RPL11;RPL35;FAU;RPL37A;RPS18;RPS10;RPL31;RPL14;RPL23;RPS12;RPL36;RPL13A;RPS28;RPL38;RPL39;RPL27;RPS15A;RPS13;RPS3A1;RPL21;RPL4;RPS19;RPL17;RPL7;RPS29;MRPS15;UBA52;RPL24;RPL15;RPS25;RPLP2;RPS16;RPS27A;MRPS21;MRPL28;RPL27A;RPL22"
"KEGG_Spliceosome%mmu03040",0.0014367816091954,0.0093,-0.414880197990278,-1.75879472029236,0,125,"SRSF5;HNRNPU;FUS;SF3B3;PRPF38B;SRSF2;PRPF18;DDX23;RBM17;SRSF7;HNRNPA3;SRSF1;CCDC12;SRSF10;SRSF9;DDX5;SF3B2;ACIN1;HNRNPM;CHERP;SRSF4;PCBP1;HNRNPA1;DDX39B;SRSF3;SRSF6;SNRPB;TRA2A;RBMX;TCERG1;DHX16;SART1;DDX42;SNRPA;PRPF40A;LSM6;SNRPB2;TRA2B;SNRPG;THOC2;ZMAT2;EFTUD2;PRPF31;LSM4;RBM25"
"KEGG_Chemokine_signaling_pathway%mmu04062",0.00141043723554302,0.0093,-0.502911591864332,-2.15926318057244,0,132,"XCR1;PLCB2;GNAI2;PLCG2;GNG2;GNB2;JAK2;PRKCD;PREX1;VAV3;LYN;AKT1;GRK6;NFKB1;PIK3CG;PXN;PIK3CD;CHUK;DOCK2;GRB2;ARRB1;CXCR3;IKBKB;HCK;STAT2;PIK3R5;WAS;ADCY7;RAC1;SHC1;STAT1;ELMO1;PIK3R6;CXCL16;VAV1;PAK1;NCF1;NFKBIA;GNG10;NRAS;PIK3R2;CCR1;GNB1;CDC42;GRK3;PRKACA;RAC2;GRK5;PLCB4;PLCB3;AKT2;CCR2;ROCK1;STAT3;PIK3R1;CCL6;GNAQ;ARRB2"
"KEGG_Phosphatidylinositol_signaling_system%mmu04070",0.00156985871271586,0.0093,-0.447984101259024,-1.76676376733751,0,78,"PLCB2;PLCG2;PIP4K2A;PIP4K2B;INPP5D;PIP5K1C;MTMR14;PIK3CD;PI4K2A;PPIP5K2;DGKG;PIK3R2;MTMR4;IMPA2;MTMR1;INPP5E;PRKCG;PLCB4;PLCB3;SYNJ1;PI4KB;DGKZ;INPP5B;PIK3R1;PTEN;ITPKB;PRKCB;ITPK1;MTMR2"
"KEGG_Phospholipase_D_signaling_pathway%mmu04072",0.00149700598802395,0.0093,-0.404956958663784,-1.66592896276293,0,102,"PLCB2;PLCG2;RALB;PTPN11;PIP5K1C;AKT1;PIK3CG;MTOR;PIK3CD;GRB2;LPAR5;PIK3R5;ADCY7;SHC1;DGKG;PIK3R6;PLD2;NRAS;PIK3R2;LPAR6;SPHK2;PLCB4;PLCB3;AKT2;SYK;AGPAT3;DGKZ;MAP2K2;PIK3R1;TSC2;DNM2;PLPP1;AGPAT1;RRAS;ARF6"
"KEGG_Lysosome%mmu04142",0.00146198830409357,0.0093,-0.418773849779749,-1.74898221013131,0,111,"MAN2B1;CTSS;GM2A;PSAP;NAGA;PPT1;ASAH1;GUSB;AP1S3;GNS;LAPTM5;HEXA;CD68;FUCA1;NAPSA;TCIRG1;AP1B1;MANBA;AP3D1;SUMF1;GGA3;PPT2;NPC1;GGA1;AP3B1;M6PR;AP4M1;ATP6V0A2;NCOA7;AP1G1;CLTA;FUCA2;GLB1;IDS;GALNS;NPC2;LITAF;CTSZ;CD164;AP1M1;HEXB;IDUA;ARSB"
"KEGG_Phagosome%mmu04145",0.00147058823529412,0.0093,-0.47061491237075,-1.97275686096293,0,117,"H2-AA;H2-AB1;ACTB;ACTG1;CORO1A;CTSS;RAB7B;H2-EB1;H2-DMA;H2-DMB1;CD36;TAP1;TAP2;H2-K1;H2-D1;TUBB3;CYBA;NCF2;ITGB1;H2-T23;H2-DMB2;ITGB2;RAC1;TCIRG1;CYBB;CALR;SCARB1;NCF1;TUBB2A;H2-M3;H2-T22;H2-OB;RAB7;H2-T24;M6PR;STX7;ATP6V0A2;NCF4"
"KEGG_AMPK_signaling_pathway%mmu04152",0.00152905198776758,0.0093,-0.422451866301407,-1.71695205208685,0,97,"SCD2;CD36;CCND1;EEF2;RAB8A;AKT1;MTOR;PFKP;PIK3CD;SREBF1;SCD1;LIPE;HMGCR;CREB1;PIK3R2;CAMKK2;GYS1;PPP2R5C;ADIPOR2;AKT2;TBC1D1;PPARG;STRADA;RAB10;PIK3R1;CRTC2;TSC2;CPT1A;ACACA;RPS6KB2;CREB3;PFKL;PRKAB2;RPS6KB1;ELAVL1"
"KEGG_Osteoclast_differentiation%mmu04380",0.00148588410104012,0.0093,-0.484302894933115,-1.99459820169781,0,103,"IFNGR1;SPI1;PLCG2;TYK2;TGFB1;CYBA;NCF2;CYLD;IRF9;AKT1;NFATC1;NFKB1;PIK3CD;CHUK;FOS;BTK;GRB2;IKBKB;MAP2K6;STAT2;RAC1;TAB2;PIRB;STAT1;MAPK14;CREB1;PPP3CB;NFATC2;NCF1;NFKBIA;PIK3R2;IFNAR1;IFNAR2;AKT2;JUND;SYK;NCF4;PPARG;TNFRSF11A;IFNGR2;PIK3R1;FOSB"
