"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"CC_actin_cytoskeleton%0015629",0.00156494522691706,0.0340005483959419,0.586684892651109,1.96048322015572,0,177,"GSN;ACTG1;LCP1;ACTB;ACTN4;TPM3;CAPG;WDR1;CFL1;ALDOA;PARVB;MYO1F;NDC1;CIT;CORO1C;TAGLN2;PARVG;CTNNA1;WIPF1;MYO1D;KNTC1;EZR;EPB41;GBP2B;TAOK2;ARHGAP6;RINL;ZYX;CENPQ;IQGAP1;SPPL2B;ANLN;LIMD2;DHX9;ARHGAP33;FKBP15;FLII;SYNPO;CTTNBP2NL;BIN3;NEURL1B;H1F0;ARC;FLNA;GAS2L3;MYO19;MAP2;MPRIP;MYH9;ENAH"
"CC_cell_projection%0042995",0.00158227848101266,0.0340005483959419,0.62341303151426,1.98337552218297,0,122,"SPP1;ACTN4;WDR1;RAC2;CD44;ANXA5;VIM;RHOG;CAD;ACTN1;RAC1;FERMT3;EZR;KIZ;CX3CL1;SLC2A3;OGT;SLC6A6;ZDHHC17;TNS3;TSC2;RRM1;FLII;ENPP1;HCK;CST3;ACTR2;BIN2"
"CC_basolateral_plasma_membrane%0016323",0.00156494522691706,0.0340005483959419,0.527672948326611,1.76663372758391,0,180,"CAR2;PIANP;CD44;FXYD5;AP2A1;CADM1;SLC4A2;SLC29A1;FLOT2;SLCO4A1;STX2;KCNN4;SCRIB;DAG1;MYO1D;MSN;ATP1B3;EZR;SLC12A6;AURKA;SLC16A6;EPB41;ATP1B1;SLC6A6;IQGAP1;CDH17;PDGFB;RHBG;ARRB1;ANXA1;ENPP1;CTNNB1;MAP4K2;PTK2;SLC9A1;PKD1;HSP90AB1;CASK;ABCC4;SLC14A1"
"CC_spindle%0005819",0.0015748031496063,0.0340005483959419,0.601041028147115,1.89822851402996,0,112,"KIF20A;PLK1;INCENP;AKT1;SPAG5;RACGAP1;MAP7D1;TTLL12;HMMR;BUB1B;ANAPC5;KIF23;TPX2;KIF2C;KIF11;PRC1;DIAPH1;SHCBP1;ARHGEF2;TUBG1;CDCA8;NDE1;ANAPC7;FBXO5;DIDO1;KATNAL1;CCAR2;DCTN1;KIF22;MAD2L1BP;MAP2K5"
"CC_mitotic_spindle%0072686",0.0031496062992126,0.0340005483959419,0.560899741012699,1.77271387541485,1,113,"CAPG;DLGAP5;MAD1L1;NUDC;SPAG5;PTPN7;RACGAP1;ESPL1;TUBB6;CD180;ECT2;LIMK2;KIF23;TACC3;HDAC3;CDK1;TPX2;CKAP2L;KLHL22;KIF11;KNSTRN;AURKA;DIAPH1;EPB41;IKBKG;KIFC1;SKA1;EML1;NUSAP1;DCTN1;KIF22"
"CC_apical_part_of_cell%0045177",0.00316957210776545,0.0340005483959419,0.608253963500427,1.83335642349071,1,82,"SPP1;CAR2;ACTG1;EMP2;ITPR3;MSN;EZR;PRKCA;TUBG1;FZD6;KLK1B16;CD36;SPECC1;CTNNB1;ACVR1;APP;RDX;CEP164"
"CC_heterochromatin%0000792",0.00330578512396694,0.0340005483959419,0.631946080447583,1.76464195163506,1,51,"HDAC1;ALDOA;CBX6;DNMT1;DNMT3A;PHC2;UBA1;MBD2;ANAPC7;PSIP1;SUV39H1;EME1;SATB1;MORC2A;SUMO1;MECP2;CBX2;UHRF1;HDAC2;DAXX;TRIM28;UHRF2"
"CC_podosome%0002102",0.00171821305841924,0.0340005483959419,0.747348751991745,2.00948410737695,0,43,"GSN;LCP1;ACTB;TPM3;WDR1;FERMT3;ADAM8;ARHGEF2;ASAP1;TNS3;FLII;DNM2;BIN2;DBNL;FLNA;LPXN"
"CC_microtubule_cytoskeleton%0015630",0.003125,0.0340005483959419,0.48829946935734,1.61102868123148,1,164,"PLK1;INCENP;CCNB2;AKT1;SS18;PTPN7;MAST2;MAP7D1;TUBB6;TUBA1B;HMMR;TPX2;CKAP2L;KLHL22;KIF2C;AURKA;PRC1;VPS41;IQGAP1;AURKB;TTLL3;CDCA8;ANAPC7;MAP7D2;MARK4;SKA1;KATNAL1;RANBP10;EML1;DCTN1;CLIP1;MID1IP1;RELL1;TUBB5;CKAP5;EHD2;PIK3R4;GAS2L3;TMEM9;BIRC5;MFN2;MAP2;GAS8;MAPRE1;CLASP1;ACTR1A;DNAJA1"
"CC_kinetochore%0000776",0.00162337662337662,0.0340005483959419,0.568751095419646,1.82787011435385,0,140,"ACTB;PLK1;INCENP;MAD1L1;PHF2;SPAG5;NDC80;ZFP207;BUB1B;SMARCC2;KIF2C;KNSTRN;AURKA;PSEN2;PMF1;SMARCD1;SPC25;AURKB;NCAPD3;NUF2;TRP53BP1;SIN3A;NUP133;SMARCC1;NDE1;SMARCA4;SKA1;DCTN1;DCTN5;BUB1;FIRRM;CKAP5;NUP160;DCTN4;ARID2;BUB3;BIRC5;BRD7;DYNLL1;CLASP1;ZWILCH;ERCC6L;PSEN1;SPC24"
